236,Aquila chrysaetos,金雕,Golden Eagle,LC,一级,
237,Aquila fasciata,白腹隼雕,Bonelli's Eagle,LC,二级,
238,Accipiter trivirgatus,凤头鹰,Crested Goshawk,LC,二级,
239,Accipiter badius,褐耳鹰,Shikra,LC,二级,
240,Accipiter soloensis,赤腹鹰,Chinese Sparrowhawk,LC,二级,
241,Accipiter gularis,日本松雀鹰,Japanese Sparrowhawk,LC,二级,
242,Accipiter virgatus,松雀鹰,Besra,LC,二级,
243,Accipiter nisus,雀鹰,Eurasian Sparrowhawk,LC,二级,
244,Accipiter gentilis,苍鹰,Northern Goshawk,LC,二级,
245,Circus aeruginosus,白头鹞,Western Marsh Harrier,LC,二级,
246,Circus spilonotus,白腹鹞,Eastern Marsh Harrier,LC,二级,
247,Circus cyaneus,白尾鹞,Hen Harrier,LC,二级,
248,Circus macrourus,草原鹞,Pallid Harrier,NT,二级,
249,Circus melanoleucos,鹊鹞,Pied Harrier,LC,二级,
250,Circus pygargus,乌灰鹞,Montagu's Harrier,LC,二级,
251,Milvus migrans,黑鸢,Black Kite,LC,二级,
252,Haliastur indus,栗鸢,Brahminy Kite,LC,二级,
253,Haliaeetus leucogaster,白腹海雕,White-bellied Sea Eagle,LC,一级,
254,Haliaeetus leucoryphus,玉带海雕,Pallas's Fish Eagle,EN,一级,
255,Haliaeetus albicilla,白尾海雕,White-tailed Eagle,LC,一级,
256,Haliaeetus pelagicus,虎头海雕,Steller's Sea Eagle,VU,一级,
257,Haliaeetus humilis,渔雕,Lesser Fish Eagle,NT,二级,
258,Butastur teesa,白眼鵟鹰,White-eyed Buzzard,LC,二级,
259,Butastur liventer,棕翅鵟鹰,Rufous-winged Buzzard,LC,二级,
260,Butastur indicus,灰脸鵟鹰,Grey-faced Buzzard,LC,二级,
261,Buteo lagopus,毛脚鵟,Rough-legged Buzzard,LC,二级,
262,Buteo hemilasius,大鵟,Upland Buzzard,LC,二级,
263,Buteo japonicus,普通鵟,Eastern Buzzard,LC,二级,
264,Buteo refectus,喜山鵟,Himalayan Buzzard,LC,二级,
265,Buteo rufinus,棕尾鵟,Long-legged Buzzard,LC,二级,
266,Buteo buteo,欧亚鵟,Common Buzzard,LC,二级,
21,OTIDIFORMES,鸨科,Otididae (3:3),,,
267,Otis tarda,大鸨,Great Bustard,VU,一级,
268,Chlamydotis macqueenii,波斑鸨,Macqueen's Bustard,VU,一级,
269,Tetrax tetrax,小鸨,Little Bustard,NT,一级,
22,GRUIFORMES,秧鸡科,Rallidae (13:21),,,
270,Rallus aquaticus,西方秧鸡,Water Rail,LC,-,
271,Rallus indicus,普通秧鸡,Brown-cheeked Rail,LC,-,
272,Crex crex,长脚秧鸡,Corn Crake,LC,二级,
273,Lewinia striata,灰胸秧鸡,Slaty-breasted Rail,LC,-,中文名由蓝胸秧鸡改为灰胸秧鸡
274,Porzana porzana,斑胸田鸡,Spotted Crake,LC,-,
275,Gallinula chloropus,黑水鸡,Common Moorhen,LC,-,
276,Fulica atra,白骨顶,Eurasian Coot,LC,-,中文名由骨顶鸡改为白骨顶
277,Porphyrio poliocephalus,紫水鸡,Grey-headed Swamphen,NR,二级,
278,Porphyrio indicus,黑背紫水鸡,Black-backed Swamphen,NR,-,
279,Coturnicops exquisitus,花田鸡,Swinhoe's Rail,VU,二级,
280,Zapornia paykullii,斑胁田鸡,Band-bellied Crake,NT,二级,
281,Zapornia bicolor,棕背田鸡,Black-tailed Crake,LC,二级,
282,Zapornia akool,红脚田鸡,Brown Crake,LC,-,中文名由红脚苦恶鸟改为红脚田鸡
283,Zapornia pusilla,小田鸡,Baillon's Crake,LC,-,
284,Zapornia parva,姬田鸡,Little Crake,LC,二级,
285,Zapornia fusca,红胸田鸡,Ruddy-breasted Crake,LC,-,
286,Rallina eurizonoides,白喉斑秧鸡,Slaty-legged Crake,LC,-,
287,Rallina fasciata,红腿斑秧鸡,Red-legged Crake,LC,-,
288,Poliolimnas cinereus,白眉田鸡,White-browed Crake,LC,-,
289,Gallicrex cinerea,董鸡,Watercock,LC,-,
290,Amaurornis phoenicurus,白胸苦恶鸟,White-breasted Waterhen,LC,-,
